성취기준코드,학년군,교과,영역,성취기준,성취수준A,성취수준B,성취수준C,탐구 활동,원문쪽
[4사05-01],초등 3~4학년군,사회,지도로 만나는 우리 지역,"우리 지역을 표현한 다양한 종류의 지도를 찾아보고, 지도의 요소를 이해한다.","우리 지역을 표현한 다양한 지도의 종류와 기능을 분석하고 지도에 나타난 요소의 의미와 쓰임을 설명하며, 실생활에서 지도를 활용할 수 있다.","우리 지역을 표현한 다양한 종류의 지도를 조사하고, 지도에 나타난 요소가 의미하는 바를 설명할 수 있다.","우리 지역을 표현한 다양한 종류의 지도를 보고, 지도의 요소를 구별할 수 있다.",,40
[4사05-02],초등 3~4학년군,사회,지도로 만나는 우리 지역,"지도에서 우리 지역의 위치를 파악하고, 우리 지역의 지리 정보를 탐색한다.","지도를 통해 우리 지역의 위치 특성을 분석하고, 우리 지역의 지리 정보를 조사하여 우리 지역의 특징을 다른 지역과 비교하여 설명할 수 있다.","지도에서 우리 지역의 위치를 확인하고, 우리 지역의 지리 정보를 조사하여 우리 지역의 특징을 설명할 수 있다.","지도에서 우리 지역의 위치를 찾고, 우리 지역의 지리 정보를 조사할 수 있다.",,40
[4사06-01],초등 3~4학년군,사회,우리 지역의 문화유산,"지역의 문화유산을 통해 문화유산의 의미와 유형을 알아보고, 문화유산의 가치를 탐색한다.","지역의 문화유산을 통해 문화유산의 의미, 유형, 가치를 탐구하고, 문화유산의 가치를 탐색하여 문화유산을 보존하려는 태도를 가진다.","지역의 문화유산을 통해 문화유산의 의미와 유형을 설명하고, 문화유산의 가치를 찾아 문화유산을 지키려는 태도를 가진다.","지역의 문화유산을 통해 문화유산의 의미와 유형을 탐색하고, 문화유산에 관심을 가진다.",,41
[4사06-02],초등 3~4학년군,사회,우리 지역의 문화유산,"지역의 박물관, 기념관, 유적지 등을 체험하고 지역의 역사를 이해한다.","지역의 박물관, 기념관, 유적지 등을 체험하며 다양한 역사적 사실을 탐구하고 지역의 역사를 지키려는 태도를 가진다.","지역의 박물관, 기념관, 유적지 등을 체험하며 알게 된 역사적 사실을 설명하고 지역의 역사에 지속적으로 관심을 가진다.","지역의 박물관, 기념관, 유적지 등을 살펴보며 지역의 역사에 관심을 가진다.",,41
[4사07-01],초등 3~4학년군,사회,경제활동과 지역 간 교류,"자원의 희소성으로 인해 경제활동에서 선택의 문제가 발생함을 이해하고, 경제활동에서 합리적 선택의 방법을 탐색한다.","자원의 희소성으로 인해 경제활동에서 선택의 문제가 발생하는 사례를 조사하고, 경제활동에서 합리적 선택의 방법을 실천할 수 있다.","자원의 희소성으로 인해 경제활동에서 선택의 문제가 발생함을 설명하고, 경제활동에서 합리적 선택의 방법을 탐색할 수 있다.",자원의 희소성으로 인해 경제활동에서 선택의 문제가 발생함을 말할 수 있다.,,41
[4사07-02],초등 3~4학년군,사회,경제활동과 지역 간 교류,"생산과 소비 활동을 파악하고, 인적·물적 교류의 사례를 통해 각 지역 및 사람들이 상호 의존 관계를 맺고 있음을 탐색한다.","사례를 통해 생산과 소비 활동을 분석하고, 여러 인적·물적 교류의 사례를 조사하여 각 지역 및 사람들이 상호 의존 관계를 맺고 있음을 도출할 수 있다.","사례를 통해 생산과 소비 활동을 구분하고, 인적·물적 교류의 사례를 통해 각 지역 및 사람들이 상호 의존 관계에 있음을 설명할 수 있다.","생산과 소비 활동을 구분하고, 인적·물적 교류의 사례를 조사할 수 있다.",,41
[4사08-01],초등 3~4학년군,사회,민주주의와 자치,"학교 자치 사례를 통하여 민주주의의 의미를 이해하고, 학교생활에서 민주주의를 실천하는 능력을 기른다.","학교 자치 활동의 사례를 조사하여 민주주의의 의미를 도출하고, 학교생활에서 민주주의를 실천하는 데 참여할 수 있다.","학교 자치 활동의 사례를 통하여 민주주의의 의미를 설명하고, 학교생활에서 민주주의를 실천하는 데 관심을 가진다.","학교 자치 활동의 사례를 통하여 민주주의의 의미를 제시하고, 학교생활에서 민주주의를 실천하고자 노력한다.",,42
[4사08-02],초등 3~4학년군,사회,민주주의와 자치,"지역에서 이루어지는 민주주의 사례를 통해 주민 자치와 주민 참여의 중요성을 파악하고, 지역사회의 문제 해결에 참여하는 태도를 기른다.","지역에서 이루어지는 민주주의의 사례를 통해 주민 자치와 주민 참여의 중요성을 설명하고, 지역사회에서 발생하는 문제를 조사하고 해결하기 위해 노력한다.","지역에서 이루어지는 민주주의의 사례를 통해 주민 자치와 주민 참여의 중요성을 파악하고, 지역사회에서 발생하는 문제와 이에 대한 해결에 관심을 가진다.","지역에서 이루어지는 민주주의의 사례를 통해 주민 자치와 주민 참여의 중요성을 파악하고, 지역사회에서 발생하는 문제에 주의를 기울인다.",,42
[4사09-01],초등 3~4학년군,사회,지역문제를 해결하고 지역을 알리는 노력,"생활 주변에서 찾을 수 있는 여러 가지 문제를 파악하고, 그 문제를 합리적으로 해결하는 능력을 기른다.","생활 주변에서 찾을 수 있는 지역의 여러 가지 문제를 조사하고, 그 문제를 합리적으로 해결하는 방안을 근거를 들어 제안할 수 있다.","생활 주변에서 찾을 수 있는 지역의 여러 가지 문제를 파악하고, 그 문제를 합리적으로 해결하기 위한 방안을 탐색할 수 있다.",생활 주변에서 찾을 수 있는 여러 가지 문제를 제시하고 문제 해결에 관심을 가진다.,,42
[4사09-02],초등 3~4학년군,사회,지역문제를 해결하고 지역을 알리는 노력,"지역의 자연환경, 역사, 문화, 생산물 등을 알리려는 지역사회의 노력을 알고 관심을 갖는다.","지역의 자연환경, 역사, 문화, 생산물 등을 알리려는 지역사회의 여러 활동을 조사하고, 지역사회의 노력에 다양한 방식으로 참여할 수 있다.","지역의 자연환경, 역사, 문화, 생산물 등을 알리려는 지역사회의 활동을 조사하고, 지역사회의 노력에 지속적으로 관심을 가진다.","지역의 자연환경, 역사, 문화, 생산물 등을 알리려는 지역사회의 활동을 탐색할 수 있다.",,42
[4사10-01],초등 3~4학년군,사회,다양한 환경과 삶의 모습,"여러 지역의 자연환경과 인문환경의 특징을 살펴보고, 환경의 이용과 개발에 따른 변화를 탐구한다.","여러 지역의 자연환경과 인문환경을 분석하여 특징을 파악하고, 개발과 보전에 관한 균형 있는 관점을 바탕으로 환경의 이용과 개발에 따른 변화를 설명할 수 있다.","여러 지역의 자연환경과 인문환경을 조사하여 우리 지역과의 유사점과 차이점을 발견하고, 환경의 이용과 개발에 따른 변화를 설명할 수 있다.","여러 지역의 자연환경과 인문환경을 조사하여 다양한 환경의 모습을 확인하고, 환경의 이용과 개발에 따른 변화를 살펴볼 수 있다.",,43
[4사10-02],초등 3~4학년군,사회,다양한 환경과 삶의 모습,"사례에서 도시의 인구, 교통, 산업 등의 특징을 탐구하고, 도시에서의 삶의 모습을 이해한다.","우리나라 여러 도시의 사례를 분석하여 도시의 인구, 교통, 산업 등의 특징을 도출하고, 도시 생활의 장점과 단점을 중심으로 도시에서의 삶의 모습을 설명할 수 있다.","우리나라 여러 도시의 인구, 교통, 산업의 특징을 조사하고, 도시 생활의 장점과 단점을 설명할 수 있다.","우리나라 여러 도시의 인구, 교통, 산업의 특징을 찾을 수 있고, 도시에서의 생활 모습을 말할 수 있다.",,43
[4도01-01],초등 3~4학년군,도덕,자신과의 관계,자신의 감정을 소중히 여기며 존중하는 태도를 바탕으로 내가 누구인가를 탐구한다.,자신의 감정을 꾸준히 존중하는 태도를 바탕으로 내가 누구인가를 다각도로 탐구한다.,자신의 감정을 존중하는 태도를 바탕으로 내가 누구인가를 탐구한다.,자신의 감정에 관심을 가지고 내가 누구인가를 탐구하려고 노력한다.,,55
[4도01-02],초등 3~4학년군,도덕,자신과의 관계,정직의 의미를 알고 모범적인 사례를 탐색하여 바르게 행동하려는 태도를 기른다.,정직의 의미를 포괄적으로 이해하고 다양한 모범 사례를 탐색하여 생활 전반에서 바르게 행동하려는 태도를 기른다.,정직의 의미를 이해하고 모범 사례를 탐색하여 바르게 행동하려는 태도를 기른다.,정직의 의미를 단편적으로 이해하고 모범 사례 탐색에 관심을 가지며 바르게 행동하려는 태도를 기르고자 노력한다.,,55
[4도01-03],초등 3~4학년군,도덕,자신과의 관계,성실한 생활의 모범 사례를 탐색하고 시간 관리를 위한 생활을 계획하여 지속적인 자기 성장을 모색한다.,성실한 생활의 다양한 모범 사례를 탐색하고 생활 전반에 걸쳐 시간 관리를 위한 생활 계획을 세우며 지속적인 자기 성장을 모색한다.,성실한 생활의 모범 사례를 탐색하고 시간 관리를 위한 생활 계획을 세우며 자기 성장을 모색한다.,성실한 생활의 모범 사례를 인식하고 시간 관리를 위한 생활 계획을 세우려 노력하며 자기 성장에 관심을 가진다.,,55
[4도01-04],초등 3~4학년군,도덕,자신과의 관계,다른 사람의 관점을 수용할 수 있는지를 도덕적으로 검토하고 도덕규범을 내면화하여 도덕적으로 행동할 수 있는 자세를 기른다.,다른 사람의 관점을 수용할 수 있는지를 도덕적으로 검토하며 생활 전반에서 도덕규범을 내면화하여 도덕적으로 행동할 수 있는 자세를 가진다.,다른 사람의 관점을 수용할 수 있는지를 도덕적으로 검토하며 도덕규범을 내면화하여 도덕적으로 행동할 수 있는 자세를 가진다.,다른 사람의 관점을 수용할 수 있는지를 검토하려고 노력하며 도덕규범에 관심을 가지고 도덕적으로 행동하려고 노력한다.,,55
[4도02-01],초등 3~4학년군,도덕,타인과의 관계,"효, 우애의 의미와 필요성을 명료하게 이해하고 가족의 행복을 위해 할 수 있는 일을 탐색하여 실천 계획을 세운다.","효, 우애의 의미와 필요성에 대해 명료하게 이해하고 가족의 행복을 위해 자신이 할 수 있는 다양한 일을 탐색하여 실천 계획을 세운다.","효, 우애의 의미와 필요성에 대해 이해하고 가족의 행복을 위해 자신이 할 수 있는 일을 탐색하여 실천 계획을 세운다.","효, 우애의 의미와 필요성에 대해 대략적으로 이해하고 가족의 행복을 위해 자신이 할 수 있는 일을 탐색하여 실천 계획을 세우는 것에 관심을 가진다.",,56
[4도02-02],초등 3~4학년군,도덕,타인과의 관계,친구 사이의 배려에 대한 올바른 이해를 바탕으로 일상생활에서 배려에 기반한 도덕적 관계를 맺을 수 있는 방안을 탐색한다.,친구 사이의 배려에 대한 올바른 이해를 바탕으로 일상생활에서 배려에 기반한 도덕적 관계를 맺을 수 있는 방안을 다각도로 탐색한다.,친구 사이의 배려에 대한 올바른 이해를 바탕으로 일상생활에서 배려에 기반한 도덕적 관계를 맺을 수 있는 방안을 탐색한다.,친구 사이의 배려에 대한 이해를 바탕으로 배려에 기반한 도덕적 관계를 맺을 수 있는 방안에 관심을 가진다.,,56
[4도02-03],초등 3~4학년군,도덕,타인과의 관계,공감의 태도가 필요한 이유를 이해하고 도덕적 상상력을 바탕으로 대상과 상황에 따라 감정을 나누는 방법을 탐구하여 실천한다.,타인 공감의 태도가 필요한 이유를 포괄적으로 이해하고 도덕적 상상력을 바탕으로 대상과 상황에 따라 감정 나누는 방법을 다각도로 탐구하여 생활 전반에서 실천한다.,타인 공감의 태도가 필요한 이유를 이해하고 도덕적 상상력을 바탕으로 대상과 상황에 따라 감정 나누는 방법을 탐구하여 실천한다.,타인 공감의 태도가 필요한 이유를 단편적으로 이해하고 도덕적 상상력을 바탕으로 대상과 상황에 따라 감정 나누는 방법에 관심을 가지고 실천하려고 노력한다.,,56
[4도03-01],초등 3~4학년군,도덕,사회·공동체와의 관계,"불공정의 사례를 탐구하고, 일상생활에서 공정의 가치를 추구하는 활동을 통해 실천 의지를 함양한다.",불공정의 사례를 다각도로 탐구하고 일상생활에서 공정의 가치를 추구하는 활동을 통해 적극적인 실천 의지를 가진다.,불공정의 사례를 탐구하고 일상생활에서 공정의 가치를 추구하는 활동을 통해 실천 의지를 가진다.,불공정의 사례를 인식하고 일상생활에서 공정의 가치를 추구하는 활동에 관심을 가진다.,,56
[4도03-02],초등 3~4학년군,도덕,사회·공동체와의 관계,"디지털 사회에서 발생하는 다양한 문제를 살펴보고, 해결 방안을 탐구하여 정보통신 윤리에 대한 민감성을 기른다.",디지털 사회에서 발생하는 다양한 문제를 살펴보고 해결 방안을 다각도로 탐구하여 정보통신 윤리에 대한 민감성을 가진다.,디지털 사회에서 발생하는 문제를 살펴보고 해결 방안을 탐구하여 정보통신 윤리에 대한 민감성을 가진다.,디지털 사회에서 발생하는 문제를 살펴보고 해결 방안에 관심을 가지며 정보통신 윤리에 대한 민감성을 기르고자 노력한다.,,56
[4도03-03],초등 3~4학년군,도덕,사회·공동체와의 관계,"통일의 필요성을 이해하고, 통일 감수성을 길러 바람직한 통일의 방향을 모색한다.",통일의 필요성에 대해 전반적으로 이해하고 통일 감수성을 길러 바람직한 통일의 방향을 다각도로 모색한다.,통일의 필요성에 대해 이해하고 통일 감수성을 길러 바람직한 통일의 방향을 모색한다.,통일의 필요성에 대해 부분적으로 이해하고 통일 감수성을 기르고자 노력하여 바람직한 통일의 방향에 관심을 가진다.,,57
[4도04-01],초등 3~4학년군,도덕,자연과의 관계,생명 경시 사례를 조사하고 문제 해결 방법을 탐구함으로써 생명의 소중함을 이해한다.,다양한 생명 경시 사례를 조사하고 문제 해결 방법을 다각도로 탐구함으로써 생명의 소중함을 포괄적으로 이해한다.,생명 경시 사례를 조사하고 문제 해결 방법을 탐구함으로써 생명의 소중함을 이해한다.,생명 경시 사례에 관심을 가짐으로써 생명의 소중함을 단편적으로 이해한다.,,57
[4도04-02],초등 3~4학년군,도덕,자연과의 관계,인간과 자연이 함께 살아야 하는 이유를 이해하고 공생을 위한 구체적인 실천 계획을 세우며 생태 감수성을 기른다.,인간과 자연이 함께 살아야 하는 이유를 포괄적으로 이해하고 자연과의 공생을 위한 구체적인 실천 계획을 다양하게 수립하며 생태 감수성을 기른다.,인간과 자연이 함께 살아야 하는 이유를 이해하고 자연과의 공생을 위한 구체적인 실천 계획을 세우며 생태 감수성을 기른다.,인간과 자연이 함께 살아야 하는 이유를 단편적으로 이해하고 자연과의 공생을 위한 실천 계획을 세우는 것에 관심을 가지며 생태 감수성을 기르고자 노력한다.,,57
[4수01-01],초등 3~4학년군,수학,수와 연산,"큰 수의 필요성을 인식하면서 10000 이상의 큰 수에 대한 자릿값과 위치적 기수법을 이해하고, 수를 읽고 쓸 수 있다.","실생활에서 큰 수의 필요성을 설명하고, 10000 이상의 수를 각 자리의 숫자가 나타내는 수들의 합으로 나타내며, 수를 읽고 쓸 수 있다.","실생활에서 큰 수의 필요성을 알고, 10000 이상의 수에서 각 자리의 숫자가 나타내는 수를 말하며, 수를 읽고 쓸 수 있다.","실생활에서 큰 수가 사용됨을 알고, 수 카드, 자릿값 카드 등을 이용하여 10000 이상의 수에서 각 자리의 숫자가 나타내는 수를 알고, 수를 읽고 쓸 수 있다.",,65
[4수01-02],초등 3~4학년군,수학,수와 연산,"다섯 자리 이상의 수의 범위에서 수의 계열을 이해하고, 수의 크기를 비교하며 그 방법을 설명할 수 있다.","수의 계열에 대한 이해를 바탕으로 다섯 자리 이상의 수를 여러 가지 방법으로 세며, 수의 크기를 비교하고 그 방법을 설명할 수 있다.","다섯 자리 이상의 수를 만, 억, 조씩 뛰어 세면서 수의 계열을 이해하고, 수의 크기를 비교할 수 있다.","안내된 절차에 따라 다섯 자리 이상의 수를 뛰어 세고, 간단한 두 수의 크기를 비교할 수 있다.",,65
[4수01-03],초등 3~4학년군,수학,수와 연산,세 자리 수의 덧셈과 뺄셈의 계산 원리를 이해하고 그 계산을 할 수 있다.,"받아올림이 있는 (세 자리 수)+(세 자리 수)와 받아내림이 있는 (세 자리 수)-(세 자리 수)를 계산하고, 그 계산 원리를 설명할 수 있다.","받아올림이 있는 (세 자리 수)+(세 자리 수)와 받아내림이 있는 (세 자리 수)-(세 자리 수)의 계산 원리를 이해하고, 그 계산을 할 수 있다.",안내된 절차에 따라 받아올림이 있는 (세 자리 수)+(세 자리 수)와 받아내림이 있는 (세 자리 수)-(세 자리 수)의 간단한 계산을 할 수 있다.,,65
[4수01-04],초등 3~4학년군,수학,수와 연산,곱하는 수가 한 자리 수 또는 두 자리 수인 곱셈의 계산 원리를 이해하고 그 계산을 할 수 있다.,"(두 자리 수)×(한 자리 수), (세 자리 수)×(한 자리 수), (두 자리 수)×(두 자리 수), (세 자리 수)×(두 자리 수)를 계산하고, 그 계산 원리를 설명할 수 있다.","(두 자리 수)×(한 자리 수), (세 자리 수)×(한 자리 수), (두 자리 수)×(두 자리 수), (세 자리 수)×(두 자리 수)의 계산 원리를 이해하고, 그 계산을 할 수 있다.","안내된 절차에 따라 (두 자리 수)×(한 자리 수), (두 자리 수)×(두 자리 수)의 간단한 계산을 할 수 있다.",,66
[4수01-05],초등 3~4학년군,수학,수와 연산,"나눗셈이 이루어지는 실생활 상황과 연결하여 나눗셈의 의미를 알고, 곱셈과 나눗셈의 관계를 이해한다.","나눗셈이 이루어지는 실생활 상황과 연결하여 나눗셈의 의미를 설명하고, 한 가지 상황을 곱셈식과 나눗셈식으로 나타내어 곱셈과 나눗셈의 관계를 설명할 수 있다.","나눗셈이 이루어지는 실생활 상황과 연결하여 나눗셈의 의미를 이해하고, 이를 나눗셈식으로 나타내며, 한 가지 상황을 곱셈식과 나눗셈식으로 나타낼 수 있다.","안내된 절차에 따라 나눗셈이 이루어지는 실생활 상황을 나눗셈식으로 나타내고, 곱셈식을 나눗셈식으로, 나눗셈식을 곱셈식으로 나타낼 수 있다.",,66
[4수01-06],초등 3~4학년군,수학,수와 연산,"나누는 수가 한 자리 수인 나눗셈의 계산 원리를 이해하고 그 계산을 할 수 있으며, 나눗셈에서 몫과 나머지의 의미를 안다.","나누는 수가 한 자리 수인 나눗셈을 계산하여 몫과 나머지를 구하고, 나눗셈에서 몫과 나머지의 의미와 계산 원리를 설명할 수 있다.","나누는 수가 한 자리 수인 나눗셈의 계산 원리를 이해하고, 그 계산을 하여 몫과 나머지를 구할 수 있다.",안내된 절차에 따라 나누는 수가 한 자리 수인 나눗셈을 하여 몫과 나머지를 구할 수 있다.,,66
[4수01-07],초등 3~4학년군,수학,수와 연산,나누는 수가 두 자리 수인 나눗셈의 계산 원리를 이해하고 그 계산을 할 수 있다.,"(두 자리 수)÷(두 자리 수)와 (세 자리 수)÷(두 자리 수)를 계산하고, 그 계산 원리를 설명할 수 있다.","(두 자리 수)÷(두 자리 수)와 (세 자리 수)÷(두 자리 수)의 계산 원리를 이해하고, 그 계산을 할 수 있다.",안내된 절차에 따라 (두 자리 수)÷(두 자리 수)와 (세 자리 수)÷(두 자리 수)의 간단한 계산을 할 수 있다.,,66
[4수01-08],초등 3~4학년군,수학,수와 연산,"자연수의 덧셈, 뺄셈, 곱셈, 나눗셈과 관련한 여러 가지 상황에서 어림셈을 할 수 있다.","자연수의 덧셈, 뺄셈, 곱셈, 나눗셈에서 계산 결과를 어림하며, 어림셈을 이용하여 계산 결과가 타당한지를 확인하고, 실생활 문제를 해결할 수 있다.","자연수의 덧셈, 뺄셈, 곱셈, 나눗셈에서 계산 결과를 어림하며, 어림셈을 이용하여 계산 결과가 타당한지를 확인할 수 있다.","안내된 절차에 따라 간단한 자연수의 덧셈, 뺄셈, 곱셈, 나눗셈의 계산 결과를 어림할 수 있다.",,67
[4수01-09],초등 3~4학년군,수학,수와 연산,"양의 등분할을 통하여 분수의 필요성을 인식하고, 분수를 이해하고 읽고 쓸 수 있다.","양의 등분할을 이용하여 분수의 필요성과 의미를 설명하고, 분수를 읽고 쓸 수 있다.","양의 등분할을 통하여 분수의 필요성과 의미를 알고, 분수를 읽고 쓸 수 있다.",안내된 절차에 따라 분모와 분자를 구별하여 분수를 읽고 쓸 수 있다.,,67
[4수01-10],초등 3~4학년군,수학,수와 연산,"단위분수, 진분수, 가분수, 대분수를 알고, 그 관계를 이해한다.","단위분수, 진분수, 가분수, 대분수의 관계를 설명하고, 가분수를 대분수로, 대분수를 가분수로 나타낼 수 있다.","단위분수, 진분수, 가분수, 대분수를 알고, 가분수를 대분수로, 대분수를 가분수로 나타낼 수 있다.","안내된 절차에 따라 단위분수, 진분수, 가분수, 대분수를 구분하고, 가분수를 대분수로, 대분수를 가분수로 나타낼 수 있다.",,67
[4수01-11],초등 3~4학년군,수학,수와 연산,"분모가 같은 분수끼리, 단위분수끼리 크기를 비교하고 그 방법을 설명할 수 있다.","분모가 같은 분수끼리, 단위분수끼리 크기를 비교하고, 그 방법을 설명할 수 있다.","분모가 같은 분수끼리, 단위분수끼리 크기를 비교할 수 있다.","구체물이나 그림을 보고 분모가 같은 분수끼리, 단위분수끼리 크기를 직관적으로 비교할 수 있다.",,67
[4수01-12],초등 3~4학년군,수학,수와 연산,분모가 10인 진분수와 연결하여 소수 한 자리 수를 이해하고 읽고 쓸 수 있다.,"분모가 10인 진분수를 소수 한 자리 수로 나타내고 읽고 쓰며, 실생활에서 소수가 활용되는 사례를 찾아 소수의 필요성을 말할 수 있다.","분모가 10인 진분수를 소수 한 자리 수로 나타내고 읽고 쓰며, 실생활에서 소수가 활용되는 사례를 찾을 수 있다.","임을 알고, 소수 한 자리 수를 읽고 쓸 수 있다.",,68
[4수01-13],초등 3~4학년군,수학,수와 연산,자릿값의 원리를 바탕으로 소수 두 자리 수와 소수 세 자리 수를 이해하고 읽고 쓸 수 있다.,"소수 두 자리 수와 소수 세 자리 수에서 자릿값의 원리를 설명하고, 소수를 읽고 쓸 수 있다.","소수 두 자리 수와 소수 세 자리 수에서 자릿값의 원리를 이해하고, 소수를 읽고 쓸 수 있다.","안내된 절차에 따라 분모가 100, 1000인 분수를 소수로 나타내고, 그 소수를 읽을 수 있다.",,68
[4수01-14],초등 3~4학년군,수학,수와 연산,소수의 크기를 비교하고 그 방법을 설명할 수 있다.,"여러 가지 소수의 크기를 비교하고, 그 방법을 설명할 수 있다.",여러 가지 소수의 크기를 비교할 수 있다.,구체물이나 그림을 이용하여 소수의 크기를 비교할 수 있다.,,68
[4수01-15],초등 3~4학년군,수학,수와 연산,분모가 같은 분수의 덧셈과 뺄셈의 계산 원리를 이해하고 그 계산을 할 수 있다.,"분모가 같은 분수의 덧셈과 뺄셈을 여러 가지 방법으로 계산하고, 그 계산 원리를 설명할 수 있다.","분모가 같은 분수의 덧셈과 뺄셈의 계산 원리를 이해하고, 그 계산을 할 수 있다.",안내된 절차에 따라 분모가 같은 간단한 분수의 덧셈과 뺄셈을 할 수 있다.,,68
[4수01-16],초등 3~4학년군,수학,수와 연산,소수 두 자리 수의 범위에서 소수의 덧셈과 뺄셈의 계산 원리를 이해하고 그 계산을 할 수 있다.,"소수 두 자리 수의 범위에서 소수의 덧셈과 뺄셈을 계산하고, 그 계산 원리를 설명할 수 있다.","소수 두 자리 수의 범위에서 소수의 덧셈과 뺄셈의 계산 원리를 이해하고, 그 계산을 할 수 있다.",안내된 절차에 따라 소수 두 자리 수의 범위에서 간단한 소수의 덧셈과 뺄셈을 할 수 있다.,,69
[4수02-01],초등 3~4학년군,수학,변화와 관계,"다양한 변화 규칙을 찾아 설명하고, 그 규칙을 수나 식으로 나타낼 수 있다.","여러 가지 배열에서 다양한 변화 규칙을 찾아 수나 식으로 나타내고, 그 방법을 설명할 수 있다.","주어진 배열에서 변화 규칙을 찾아 말하고, 그 규칙을 수나 식으로 나타낼 수 있다.",안내된 절차에 따라 간단한 배열에서 변화 규칙을 찾아 수나 식으로 나타낼 수 있다.,,69
[4수02-02],초등 3~4학년군,수학,변화와 관계,"계산식의 배열에서 규칙을 찾고, 계산 결과를 추측할 수 있다.","계산식의 배열에서 규칙을 찾아 계산 결과를 추측하고, 추측한 계산 결과가 옳은지 확인하여 설명할 수 있다.","계산식의 배열에서 규칙을 찾아 말하고, 계산 결과를 추측할 수 있다.",간단한 계산식의 배열에서 이어질 계산 결과를 추측할 수 있다.,,69
[4수02-03],초등 3~4학년군,수학,변화와 관계,등호를 사용하여 크기가 같은 두 양의 관계를 식으로 나타낼 수 있다.,"등호를 사용하여 크기가 같은 두 양의 관계를 식으로 나타내고, 등호가 사용된 식이 옳은지를 설명할 수 있다.",등호를 사용하여 크기가 같은 두 양의 관계를 식으로 나타낼 수 있다.,안내된 절차에 따라 등호를 사용하여 크기가 같은 두 양의 관계를 식으로 나타낼 수 있다.,,69
[4수03-01],초등 3~4학년군,수학,도형과 측정,"직선, 선분, 반직선을 이해하고 구별할 수 있다.","직선, 선분, 반직선의 예를 제시하고, 그 차이를 설명할 수 있다.","주어진 도형에서 직선, 선분, 반직선을 구별하고, 그 차이를 말할 수 있다.","주어진 도형에서 직선, 선분, 반직선을 구별할 수 있다.",,70
[4수03-02],초등 3~4학년군,수학,도형과 측정,"각과 직각을 이해하고, 직각과 비교하는 활동을 통하여 예각과 둔각을 구별할 수 있다.","각, 직각의 예를 제시하고, 직각과 비교하여 예각과 둔각의 차이를 설명할 수 있다.","주어진 도형에서 각과 직각을 찾고, 여러 가지 각을 직각, 예각, 둔각으로 분류할 수 있다.","주어진 도형에서 각을 찾고, 직각이 있는 구체물을 이용하여 직각, 예각, 둔각을 찾을 수 있다.",,70
[4수03-03],초등 3~4학년군,수학,도형과 측정,직선의 수직 관계와 평행 관계를 이해한다.,"수직 관계인 두 직선이나 평행 관계인 두 직선을 그리고, 그 성질을 설명할 수 있다.","수직과 평행의 의미를 알고, 주어진 그림에서 수직 관계 또는 평행 관계인 직선을 찾을 수 있다.",안내된 절차에 따라 주어진 그림에서 한 직선에 수직 또는 평행인 직선을 찾을 수 있다.,,70
[4수03-04],초등 3~4학년군,수학,도형과 측정,"구체물이나 평면도형의 밀기, 뒤집기, 돌리기 활동을 통하여 그 변화를 이해한다.","구체물이나 평면도형의 밀기, 뒤집기, 돌리기를 한 결과를 예상하고, 위치나 방향의 변화를 설명할 수 있다.","구체물이나 평면도형의 밀기, 뒤집기, 돌리기를 하고, 위치나 방향의 변화를 말할 수 있다.","간단한 구체물이나 평면도형의 밀기, 뒤집기, 돌리기를 하고, 그 결과를 그림으로 나타낼 수 있다.",,70
[4수03-05],초등 3~4학년군,수학,도형과 측정,평면에서 점의 이동에 대해 위치와 방향을 이용하여 설명할 수 있다.,"평면에서 점을 이동하고, 그 결과를 위치와 방향의 용어(위, 아래, 오른쪽, 왼쪽, ~칸, ~cm 등)를 사용하여 여러 가지 방법으로 설명할 수 있다.","평면에서 점의 이동을 위치와 방향의 용어(위, 아래, 오른쪽, 왼쪽, ~칸, ~cm 등)를 사용하여 말할 수 있다.",안내된 절차에 따라 주어진 점을 위치와 방향에 맞게 이동할 수 있다.,,70
[4수03-06],초등 3~4학년군,수학,도형과 측정,"원의 중심, 반지름, 지름을 이해하고, 그 성질을 안다.","원의 중심, 반지름, 지름에 대한 이해를 바탕으로 원의 여러 가지 성질을 찾아 설명할 수 있다.","원의 중심, 반지름, 지름을 이해하고, 이를 이용하여 원의 성질을 찾을 수 있다.","주어진 원에서 원의 중심, 반지름, 지름을 찾을 수 있다.",,71
[4수03-07],초등 3~4학년군,수학,도형과 측정,컴퍼스를 이용하여 여러 가지 크기의 원을 그릴 수 있다.,"컴퍼스를 이용하여 여러 가지 크기의 원을 그리고, 원의 중심, 반지름, 지름을 이용하여 그 방법을 설명할 수 있다.",컴퍼스를 이용하여 주어진 원과 크기가 같은 원을 그릴 수 있다.,컴퍼스를 이용하여 원을 그릴 수 있다.,,71
[4수03-08],초등 3~4학년군,수학,도형과 측정,"여러 가지 모양의 삼각형에 대한 분류 활동을 통하여 이등변삼각형, 정삼각형을 이해하고, 그 성질을 탐구하고 설명할 수 있다.","여러 가지 삼각형을 분류하는 활동을 통하여 이등변삼각형과 정삼각형을 구분하고, 각각의 성질을 설명할 수 있다.","주어진 삼각형에서 이등변삼각형과 정삼각형을 찾고, 각각의 성질을 말할 수 있다.",구체적 조작 활동을 통하여 주어진 삼각형에서 이등변삼각형과 정삼각형을 찾을 수 있다.,,71
